id,recipe_name,pet_type,age_group,ingredients,ingredient_quantities,preparation_steps,calories,protein,fat,carbohydrates,vitamins,minerals,cook_time,difficulty,health_benefits,health_conditions_supported,source_url
CAT_468,Hydrating Chicken Breast & Cod Fillet Warm Mash,Cat,Adult,"Chicken Breast, Cod Fillet, Spinach, Salmon Oil","130g, 50g, 12g, 6g",Gently simmer the Chicken Breast and Cod Fillet in water without any salt or spices until fully tender. | Add the Spinach in the last 5 minutes of simmering to soften it. | Puree or mash the mixture to a fine Warm Mash consistency suitable for cats. | Stir in the Salmon Oil to provide essential omega fatty acids. | Allow the meal to cool to room temperature before serving to your cat.,158,25.1,5.6,0.2,"Vitamin D3, Thiamine, Vitamin B12, Folic Acid","Manganese, Magnesium, Iron, Phosphorus",10 mins,Easy,"Senior Pet, General Wellness","Senior Pet Support, General Wellness Support",https://pawfeed.ai/recipes/cat-hydrating-chicken-breast-and-cod-fillet-warm-mash
CAT_469,Protein-Rich Turkey Breast & Chicken Breast Jelly Stew,Cat,Adult,"Turkey Breast, Chicken Breast, Sweet Potato, Salmon Oil","193g, 71g, 15g, 7g",Gently simmer the Turkey Breast and Chicken Breast in water without any salt or spices until fully tender. | Add the Sweet Potato in the last 5 minutes of simmering to soften it. | Puree or mash the mixture to a fine Jelly Stew consistency suitable for cats. | Stir in the Salmon Oil to provide essential omega fatty acids. | Allow the meal to cool to room temperature before serving to your cat.,159,28.0,4.4,1.0,"Vitamin C, Vitamin E, Vitamin A","Potassium, Magnesium",15 mins,Medium,"Senior Pet, Weight Management","Senior Pet Support, Weight Management Support",https://pawfeed.ai/recipes/cat-protein-rich-turkey-breast-and-chicken-breast-jelly-stew
CAT_470,Wellness Chicken Breast & Tuna Fillet Jelly Stew,Cat,Adult,"Chicken Breast, Tuna Fillet, Pumpkin Puree, Flaxseed Oil","163g, 99g, 20g, 3g",Gently simmer the Chicken Breast and Tuna Fillet in water without any salt or spices until fully tender. | Add the Pumpkin Puree in the last 5 minutes of simmering to soften it. | Puree or mash the mixture to a fine Jelly Stew consistency suitable for cats. | Stir in the Flaxseed Oil to provide essential omega fatty acids. | Allow the meal to cool to room temperature before serving to your cat.,151,27.5,3.6,0.5,"Niacin, Vitamin D3","Manganese, Calcium",10 mins,Easy,"High Protein, General Wellness","High Protein Support, General Wellness Support",https://pawfeed.ai/recipes/cat-wellness-chicken-breast-and-tuna-fillet-jelly-stew
CAT_471,Protein-Rich Salmon Fillet & Turkey Breast Warm Mash,Cat,Adult,"Salmon Fillet, Turkey Breast, Sweet Potato, Flaxseed Oil","165g, 72g, 15g, 7g",Gently simmer the Salmon Fillet and Turkey Breast in water without any salt or spices until fully tender. | Add the Sweet Potato in the last 5 minutes of simmering to soften it. | Puree or mash the mixture to a fine Warm Mash consistency suitable for cats. | Stir in the Flaxseed Oil to provide essential omega fatty acids. | Allow the meal to cool to room temperature before serving to your cat.,199,21.2,11.4,1.2,"Riboflavin, Vitamin A, Niacin, Vitamin D3","Selenium, Phosphorus, Magnesium",20 mins,Easy,"Digestive Health, Skin & Coat","Digestive Health Support, Skin & Coat Support",https://pawfeed.ai/recipes/cat-protein-rich-salmon-fillet-and-turkey-breast-warm-mash
CAT_472,Protein-Rich Tuna Fillet & Chicken Liver Minced Feast,Cat,Baby,"Tuna Fillet, Chicken Liver, Pumpkin Puree, Salmon Oil","166g, 86g, 29g, 3g",Gently simmer the Tuna Fillet and Chicken Liver in water without any salt or spices until fully tender. | Add the Pumpkin Puree in the last 5 minutes of simmering to soften it. | Puree or mash the mixture to a fine Minced Feast consistency suitable for cats. | Stir in the Salmon Oil to provide essential omega fatty acids. | Allow the meal to cool to room temperature before serving to your cat.,125,21.6,3.3,0.9,"Vitamin D3, Vitamin B12","Copper, Selenium",15 mins,Medium,"Joint Health, General Wellness","Joint Health Support, General Wellness Support",https://pawfeed.ai/recipes/cat-protein-rich-tuna-fillet-and-chicken-liver-minced-feast
CAT_473,Hydrating Chicken Breast & Salmon Fillet Puree,Cat,Senior,"Chicken Breast, Salmon Fillet, Pumpkin Puree, Flaxseed Oil","106g, 79g, 30g, 5g",Gently simmer the Chicken Breast and Salmon Fillet in water without any salt or spices until fully tender. | Add the Pumpkin Puree in the last 5 minutes of simmering to soften it. | Puree or mash the mixture to a fine Puree consistency suitable for cats. | Stir in the Flaxseed Oil to provide essential omega fatty acids. | Allow the meal to cool to room temperature before serving to your cat.,178,22.3,8.7,0.9,"Vitamin A, Niacin, Vitamin C, Folic Acid","Selenium, Iron, Potassium",10 mins,Medium,High Protein,High Protein Support,https://pawfeed.ai/recipes/cat-hydrating-chicken-breast-and-salmon-fillet-puree
CAT_474,Tender Tuna Fillet & Chicken Liver Soup,Cat,Adult,"Tuna Fillet, Chicken Liver, Sweet Potato, Salmon Oil","163g, 73g, 29g, 6g",Gently simmer the Tuna Fillet and Chicken Liver in water without any salt or spices until fully tender. | Add the Sweet Potato in the last 5 minutes of simmering to soften it. | Puree or mash the mixture to a fine Soup consistency suitable for cats. | Stir in the Salmon Oil to provide essential omega fatty acids. | Allow the meal to cool to room temperature before serving to your cat.,141,21.6,4.3,2.4,"Niacin, Vitamin E, Vitamin B12, Vitamin D3","Manganese, Potassium, Iron, Copper",10 mins,Medium,Skin & Coat,Skin & Coat Support,https://pawfeed.ai/recipes/cat-tender-tuna-fillet-and-chicken-liver-soup
CAT_475,Hydrating Tuna Fillet & Rabbit Meat Soup,Cat,Baby,"Tuna Fillet, Rabbit Meat, Sweet Potato, Flaxseed Oil","189g, 86g, 13g, 3g",Gently simmer the Tuna Fillet and Rabbit Meat in water without any salt or spices until fully tender. | Add the Sweet Potato in the last 5 minutes of simmering to soften it. | Puree or mash the mixture to a fine Soup consistency suitable for cats. | Stir in the Flaxseed Oil to provide essential omega fatty acids. | Allow the meal to cool to room temperature before serving to your cat.,139,24.2,3.5,0.9,"Vitamin C, Riboflavin, Vitamin E, Vitamin D3","Copper, Manganese",20 mins,Medium,Senior Pet,Senior Pet Support,https://pawfeed.ai/recipes/cat-hydrating-tuna-fillet-and-rabbit-meat-soup
CAT_476,Grain-Free Chicken Breast & Salmon Fillet Minced Feast,Cat,Senior,"Chicken Breast, Salmon Fillet, Sweet Potato, Flaxseed Oil","109g, 72g, 19g, 3g",Gently simmer the Chicken Breast and Salmon Fillet in water without any salt or spices until fully tender. | Add the Sweet Potato in the last 5 minutes of simmering to soften it. | Puree or mash the mixture to a fine Minced Feast consistency suitable for cats. | Stir in the Flaxseed Oil to provide essential omega fatty acids. | Allow the meal to cool to room temperature before serving to your cat.,183,23.9,8.0,1.9,"Vitamin E, Vitamin B12, Riboflavin","Calcium, Selenium, Iron, Potassium",10 mins,Easy,"Senior Pet, High Protein","Senior Pet Support, High Protein Support",https://pawfeed.ai/recipes/cat-grain-free-chicken-breast-and-salmon-fillet-minced-feast
CAT_477,Protein-Rich Rabbit Meat & Beef Heart Pate,Cat,Baby,"Rabbit Meat, Beef Heart, Pumpkin Puree, Flaxseed Oil","130g, 70g, 28g, 7g",Gently simmer the Rabbit Meat and Beef Heart in water without any salt or spices until fully tender. | Add the Pumpkin Puree in the last 5 minutes of simmering to soften it. | Puree or mash the mixture to a fine Pate consistency suitable for cats. | Stir in the Flaxseed Oil to provide essential omega fatty acids. | Allow the meal to cool to room temperature before serving to your cat.,138,16.5,7.2,0.8,"Riboflavin, Thiamine, Vitamin B12","Iron, Calcium",10 mins,Medium,Digestive Health,Digestive Health Support,https://pawfeed.ai/recipes/cat-protein-rich-rabbit-meat-and-beef-heart-pate
CAT_478,Hydrating Chicken Breast & Duck Breast Bites,Cat,Adult,"Chicken Breast, Duck Breast, Sweet Potato, Flaxseed Oil","149g, 74g, 27g, 3g",Gently simmer the Chicken Breast and Duck Breast in water without any salt or spices until fully tender. | Add the Sweet Potato in the last 5 minutes of simmering to soften it. | Puree or mash the mixture to a fine Bites consistency suitable for cats. | Stir in the Flaxseed Oil to provide essential omega fatty acids. | Allow the meal to cool to room temperature before serving to your cat.,215,24.0,11.5,2.1,"Vitamin A, Vitamin D3, Riboflavin","Magnesium, Manganese, Phosphorus",20 mins,Medium,Weight Management,Weight Management Support,https://pawfeed.ai/recipes/cat-hydrating-chicken-breast-and-duck-breast-bites
CAT_479,Savory Salmon Fillet & Duck Breast Jelly Stew,Cat,Baby,"Salmon Fillet, Duck Breast, Sweet Potato, Flaxseed Oil","168g, 83g, 28g, 4g",Gently simmer the Salmon Fillet and Duck Breast in water without any salt or spices until fully tender. | Add the Sweet Potato in the last 5 minutes of simmering to soften it. | Puree or mash the mixture to a fine Jelly Stew consistency suitable for cats. | Stir in the Flaxseed Oil to provide essential omega fatty acids. | Allow the meal to cool to room temperature before serving to your cat.,243,17.6,17.4,2.0,"Vitamin A, Vitamin B12, Vitamin E","Copper, Manganese, Calcium",20 mins,Easy,"Senior Pet, Weight Management","Senior Pet Support, Weight Management Support",https://pawfeed.ai/recipes/cat-savory-salmon-fillet-and-duck-breast-jelly-stew
CAT_480,Hydrating Rabbit Meat & Chicken Breast Puree,Cat,Baby,"Rabbit Meat, Chicken Breast, Sweet Potato, Flaxseed Oil","177g, 51g, 13g, 7g",Gently simmer the Rabbit Meat and Chicken Breast in water without any salt or spices until fully tender. | Add the Sweet Potato in the last 5 minutes of simmering to soften it. | Puree or mash the mixture to a fine Puree consistency suitable for cats. | Stir in the Flaxseed Oil to provide essential omega fatty acids. | Allow the meal to cool to room temperature before serving to your cat.,160,20.7,7.5,1.0,"Vitamin E, Vitamin B12, Vitamin D3, Vitamin C","Manganese, Zinc, Magnesium, Potassium",15 mins,Medium,Skin & Coat,Skin & Coat Support,https://pawfeed.ai/recipes/cat-hydrating-rabbit-meat-and-chicken-breast-puree
CAT_481,Protein-Rich Chicken Liver & Rabbit Meat Pate,Cat,Senior,"Chicken Liver, Rabbit Meat, Pumpkin Puree, Salmon Oil","122g, 76g, 12g, 4g",Gently simmer the Chicken Liver and Rabbit Meat in water without any salt or spices until fully tender. | Add the Pumpkin Puree in the last 5 minutes of simmering to soften it. | Puree or mash the mixture to a fine Pate consistency suitable for cats. | Stir in the Salmon Oil to provide essential omega fatty acids. | Allow the meal to cool to room temperature before serving to your cat.,134,16.8,6.6,0.9,"Vitamin C, Vitamin A","Zinc, Calcium, Phosphorus",20 mins,Easy,"Joint Health, Senior Pet","Joint Health Support, Senior Pet Support",https://pawfeed.ai/recipes/cat-protein-rich-chicken-liver-and-rabbit-meat-pate
CAT_482,Tender Cod Fillet & Beef Heart Minced Feast,Cat,Senior,"Cod Fillet, Beef Heart, Spinach, Salmon Oil","150g, 59g, 25g, 4g",Gently simmer the Cod Fillet and Beef Heart in water without any salt or spices until fully tender. | Add the Spinach in the last 5 minutes of simmering to soften it. | Puree or mash the mixture to a fine Minced Feast consistency suitable for cats. | Stir in the Salmon Oil to provide essential omega fatty acids. | Allow the meal to cool to room temperature before serving to your cat.,97,16.0,3.1,0.4,"Vitamin D3, Folic Acid, Vitamin A, Vitamin B12","Iron, Selenium",10 mins,Medium,"Joint Health, Skin & Coat","Joint Health Support, Skin & Coat Support",https://pawfeed.ai/recipes/cat-tender-cod-fillet-and-beef-heart-minced-feast
CAT_483,Savory Chicken Breast & Salmon Fillet Pate,Cat,Senior,"Chicken Breast, Salmon Fillet, Pumpkin Puree, Salmon Oil","198g, 84g, 23g, 8g",Gently simmer the Chicken Breast and Salmon Fillet in water without any salt or spices until fully tender. | Add the Pumpkin Puree in the last 5 minutes of simmering to soften it. | Puree or mash the mixture to a fine Pate consistency suitable for cats. | Stir in the Salmon Oil to provide essential omega fatty acids. | Allow the meal to cool to room temperature before serving to your cat.,185,25.1,8.3,0.5,"Folic Acid, Niacin, Vitamin B12, Thiamine","Phosphorus, Calcium",15 mins,Medium,High Protein,High Protein Support,https://pawfeed.ai/recipes/cat-savory-chicken-breast-and-salmon-fillet-pate
CAT_484,Protein-Rich Chicken Liver & Turkey Breast Jelly Stew,Cat,Baby,"Chicken Liver, Turkey Breast, Spinach, Flaxseed Oil","119g, 72g, 17g, 7g",Gently simmer the Chicken Liver and Turkey Breast in water without any salt or spices until fully tender. | Add the Spinach in the last 5 minutes of simmering to soften it. | Puree or mash the mixture to a fine Jelly Stew consistency suitable for cats. | Stir in the Flaxseed Oil to provide essential omega fatty acids. | Allow the meal to cool to room temperature before serving to your cat.,142,19.6,6.4,0.8,"Thiamine, Vitamin E, Folic Acid","Magnesium, Phosphorus",15 mins,Easy,"Digestive Health, High Protein","Digestive Health Support, High Protein Support",https://pawfeed.ai/recipes/cat-protein-rich-chicken-liver-and-turkey-breast-jelly-stew
CAT_485,Grain-Free Chicken Liver & Rabbit Meat Pate,Cat,Adult,"Chicken Liver, Rabbit Meat, Pumpkin Puree, Flaxseed Oil","119g, 58g, 20g, 6g",Gently simmer the Chicken Liver and Rabbit Meat in water without any salt or spices until fully tender. | Add the Pumpkin Puree in the last 5 minutes of simmering to soften it. | Puree or mash the mixture to a fine Pate consistency suitable for cats. | Stir in the Flaxseed Oil to provide essential omega fatty acids. | Allow the meal to cool to room temperature before serving to your cat.,137,15.7,7.4,1.2,"Vitamin E, Riboflavin, Niacin","Selenium, Phosphorus",20 mins,Medium,"Digestive Health, High Protein","Digestive Health Support, High Protein Support",https://pawfeed.ai/recipes/cat-grain-free-chicken-liver-and-rabbit-meat-pate
CAT_486,Ocean Fresh Rabbit Meat & Chicken Liver Gravy Bowl,Cat,Senior,"Rabbit Meat, Chicken Liver, Sweet Potato, Salmon Oil","142g, 69g, 25g, 4g",Gently simmer the Rabbit Meat and Chicken Liver in water without any salt or spices until fully tender. | Add the Sweet Potato in the last 5 minutes of simmering to soften it. | Puree or mash the mixture to a fine Gravy Bowl consistency suitable for cats. | Stir in the Salmon Oil to provide essential omega fatty acids. | Allow the meal to cool to room temperature before serving to your cat.,139,16.9,6.3,2.3,"Vitamin E, Vitamin C","Calcium, Potassium, Selenium, Zinc",20 mins,Medium,Puppy/Kitten,Puppy/Kitten Support,https://pawfeed.ai/recipes/cat-ocean-fresh-rabbit-meat-and-chicken-liver-gravy-bowl
CAT_487,Protein-Rich Rabbit Meat & Duck Breast Gravy Bowl,Cat,Adult,"Rabbit Meat, Duck Breast, Sweet Potato, Salmon Oil","107g, 60g, 14g, 6g",Gently simmer the Rabbit Meat and Duck Breast in water without any salt or spices until fully tender. | Add the Sweet Potato in the last 5 minutes of simmering to soften it. | Puree or mash the mixture to a fine Gravy Bowl consistency suitable for cats. | Stir in the Salmon Oil to provide essential omega fatty acids. | Allow the meal to cool to room temperature before serving to your cat.,221,17.7,15.3,1.5,"Vitamin A, Niacin, Vitamin E, Vitamin B12","Iron, Zinc",10 mins,Easy,Puppy/Kitten,Puppy/Kitten Support,https://pawfeed.ai/recipes/cat-protein-rich-rabbit-meat-and-duck-breast-gravy-bowl
CAT_488,Hydrating Beef Heart & Chicken Breast Pate,Cat,Adult,"Beef Heart, Chicken Breast, Pumpkin Puree, Flaxseed Oil","125g, 93g, 27g, 6g",Gently simmer the Beef Heart and Chicken Breast in water without any salt or spices until fully tender. | Add the Pumpkin Puree in the last 5 minutes of simmering to soften it. | Puree or mash the mixture to a fine Pate consistency suitable for cats. | Stir in the Flaxseed Oil to provide essential omega fatty acids. | Allow the meal to cool to room temperature before serving to your cat.,141,20.4,5.7,0.8,"Thiamine, Vitamin D3","Selenium, Copper",15 mins,Medium,"Joint Health, High Protein","Joint Health Support, High Protein Support",https://pawfeed.ai/recipes/cat-hydrating-beef-heart-and-chicken-breast-pate
CAT_489,Hydrating Tuna Fillet & Beef Heart Jelly Stew,Cat,Senior,"Tuna Fillet, Beef Heart, Sweet Potato, Salmon Oil","181g, 60g, 14g, 5g",Gently simmer the Tuna Fillet and Beef Heart in water without any salt or spices until fully tender. | Add the Sweet Potato in the last 5 minutes of simmering to soften it. | Puree or mash the mixture to a fine Jelly Stew consistency suitable for cats. | Stir in the Salmon Oil to provide essential omega fatty acids. | Allow the meal to cool to room temperature before serving to your cat.,140,23.7,3.7,1.1,"Vitamin C, Thiamine, Vitamin E, Riboflavin","Selenium, Manganese",15 mins,Easy,"Weight Management, Senior Pet","Weight Management Support, Senior Pet Support",https://pawfeed.ai/recipes/cat-hydrating-tuna-fillet-and-beef-heart-jelly-stew
CAT_490,Grain-Free Beef Heart & Salmon Fillet Bites,Cat,Senior,"Beef Heart, Salmon Fillet, Pumpkin Puree, Salmon Oil","121g, 88g, 16g, 3g",Gently simmer the Beef Heart and Salmon Fillet in water without any salt or spices until fully tender. | Add the Pumpkin Puree in the last 5 minutes of simmering to soften it. | Puree or mash the mixture to a fine Bites consistency suitable for cats. | Stir in the Salmon Oil to provide essential omega fatty acids. | Allow the meal to cool to room temperature before serving to your cat.,153,17.2,8.4,0.6,"Niacin, Thiamine, Riboflavin, Folic Acid","Calcium, Selenium, Zinc, Phosphorus",15 mins,Medium,"Skin & Coat, General Wellness","Skin & Coat Support, General Wellness Support",https://pawfeed.ai/recipes/cat-grain-free-beef-heart-and-salmon-fillet-bites
CAT_491,Ocean Fresh Cod Fillet & Rabbit Meat Pate,Cat,Senior,"Cod Fillet, Rabbit Meat, Pumpkin Puree, Flaxseed Oil","185g, 52g, 25g, 6g",Gently simmer the Cod Fillet and Rabbit Meat in water without any salt or spices until fully tender. | Add the Pumpkin Puree in the last 5 minutes of simmering to soften it. | Puree or mash the mixture to a fine Pate consistency suitable for cats. | Stir in the Flaxseed Oil to provide essential omega fatty acids. | Allow the meal to cool to room temperature before serving to your cat.,105,16.4,3.8,0.6,"Vitamin D3, Thiamine, Folic Acid, Niacin","Calcium, Phosphorus, Copper, Zinc",20 mins,Easy,Senior Pet,Senior Pet Support,https://pawfeed.ai/recipes/cat-ocean-fresh-cod-fillet-and-rabbit-meat-pate
CAT_492,Savory Turkey Breast & Rabbit Meat Minced Feast,Cat,Senior,"Turkey Breast, Rabbit Meat, Pumpkin Puree, Salmon Oil","115g, 77g, 20g, 3g",Gently simmer the Turkey Breast and Rabbit Meat in water without any salt or spices until fully tender. | Add the Pumpkin Puree in the last 5 minutes of simmering to soften it. | Puree or mash the mixture to a fine Minced Feast consistency suitable for cats. | Stir in the Salmon Oil to provide essential omega fatty acids. | Allow the meal to cool to room temperature before serving to your cat.,136,23.3,4.2,0.6,"Vitamin B12, Riboflavin","Calcium, Copper",20 mins,Medium,"Joint Health, Skin & Coat","Joint Health Support, Skin & Coat Support",https://pawfeed.ai/recipes/cat-savory-turkey-breast-and-rabbit-meat-minced-feast
CAT_493,Savory Chicken Liver & Cod Fillet Warm Mash,Cat,Adult,"Chicken Liver, Cod Fillet, Spinach, Flaxseed Oil","148g, 83g, 12g, 3g",Gently simmer the Chicken Liver and Cod Fillet in water without any salt or spices until fully tender. | Add the Spinach in the last 5 minutes of simmering to soften it. | Puree or mash the mixture to a fine Warm Mash consistency suitable for cats. | Stir in the Flaxseed Oil to provide essential omega fatty acids. | Allow the meal to cool to room temperature before serving to your cat.,111,16.4,4.4,0.7,"Vitamin D3, Riboflavin, Niacin","Zinc, Copper, Manganese, Potassium",10 mins,Easy,Skin & Coat,Skin & Coat Support,https://pawfeed.ai/recipes/cat-savory-chicken-liver-and-cod-fillet-warm-mash
CAT_494,Ocean Fresh Cod Fillet & Salmon Fillet Jelly Stew,Cat,Baby,"Cod Fillet, Salmon Fillet, Spinach, Flaxseed Oil","182g, 53g, 25g, 5g",Gently simmer the Cod Fillet and Salmon Fillet in water without any salt or spices until fully tender. | Add the Spinach in the last 5 minutes of simmering to soften it. | Puree or mash the mixture to a fine Jelly Stew consistency suitable for cats. | Stir in the Flaxseed Oil to provide essential omega fatty acids. | Allow the meal to cool to room temperature before serving to your cat.,117,16.6,5.0,0.3,"Thiamine, Vitamin A, Niacin, Vitamin D3","Copper, Manganese, Zinc, Selenium",15 mins,Easy,"Skin & Coat, High Protein","Skin & Coat Support, High Protein Support",https://pawfeed.ai/recipes/cat-ocean-fresh-cod-fillet-and-salmon-fillet-jelly-stew
CAT_495,Grain-Free Turkey Breast & Salmon Fillet Jelly Stew,Cat,Senior,"Turkey Breast, Salmon Fillet, Sweet Potato, Salmon Oil","169g, 95g, 16g, 7g",Gently simmer the Turkey Breast and Salmon Fillet in water without any salt or spices until fully tender. | Add the Sweet Potato in the last 5 minutes of simmering to soften it. | Puree or mash the mixture to a fine Jelly Stew consistency suitable for cats. | Stir in the Salmon Oil to provide essential omega fatty acids. | Allow the meal to cool to room temperature before serving to your cat.,175,24.4,7.6,1.1,"Vitamin C, Vitamin B12, Folic Acid, Vitamin E","Selenium, Zinc, Potassium, Copper",20 mins,Medium,"Joint Health, Digestive Health","Joint Health Support, Digestive Health Support",https://pawfeed.ai/recipes/cat-grain-free-turkey-breast-and-salmon-fillet-jelly-stew
CAT_496,Ocean Fresh Beef Heart & Salmon Fillet Minced Feast,Cat,Baby,"Beef Heart, Salmon Fillet, Spinach, Salmon Oil","119g, 56g, 27g, 7g",Gently simmer the Beef Heart and Salmon Fillet in water without any salt or spices until fully tender. | Add the Spinach in the last 5 minutes of simmering to soften it. | Puree or mash the mixture to a fine Minced Feast consistency suitable for cats. | Stir in the Salmon Oil to provide essential omega fatty acids. | Allow the meal to cool to room temperature before serving to your cat.,153,15.8,9.1,0.6,"Vitamin E, Folic Acid","Selenium, Phosphorus, Zinc",10 mins,Easy,"Weight Management, Senior Pet","Weight Management Support, Senior Pet Support",https://pawfeed.ai/recipes/cat-ocean-fresh-beef-heart-and-salmon-fillet-minced-feast
CAT_497,Wellness Tuna Fillet & Duck Breast Soup,Cat,Baby,"Tuna Fillet, Duck Breast, Pumpkin Puree, Salmon Oil","167g, 62g, 23g, 8g",Gently simmer the Tuna Fillet and Duck Breast in water without any salt or spices until fully tender. | Add the Pumpkin Puree in the last 5 minutes of simmering to soften it. | Puree or mash the mixture to a fine Soup consistency suitable for cats. | Stir in the Salmon Oil to provide essential omega fatty acids. | Allow the meal to cool to room temperature before serving to your cat.,195,22.6,10.6,0.6,"Vitamin B12, Vitamin E, Vitamin A, Riboflavin","Copper, Zinc",10 mins,Easy,"Senior Pet, Skin & Coat","Senior Pet Support, Skin & Coat Support",https://pawfeed.ai/recipes/cat-wellness-tuna-fillet-and-duck-breast-soup
CAT_498,Protein-Rich Duck Breast & Beef Heart Jelly Stew,Cat,Adult,"Duck Breast, Beef Heart, Spinach, Flaxseed Oil","108g, 55g, 11g, 4g",Gently simmer the Duck Breast and Beef Heart in water without any salt or spices until fully tender. | Add the Spinach in the last 5 minutes of simmering to soften it. | Puree or mash the mixture to a fine Jelly Stew consistency suitable for cats. | Stir in the Flaxseed Oil to provide essential omega fatty acids. | Allow the meal to cool to room temperature before serving to your cat.,260,17.2,20.5,0.3,"Vitamin D3, Vitamin C, Folic Acid, Thiamine","Zinc, Manganese",15 mins,Easy,Senior Pet,Senior Pet Support,https://pawfeed.ai/recipes/cat-protein-rich-duck-breast-and-beef-heart-jelly-stew
CAT_499,Tender Rabbit Meat & Salmon Fillet Soup,Cat,Adult,"Rabbit Meat, Salmon Fillet, Sweet Potato, Salmon Oil","134g, 87g, 29g, 7g",Gently simmer the Rabbit Meat and Salmon Fillet in water without any salt or spices until fully tender. | Add the Sweet Potato in the last 5 minutes of simmering to soften it. | Puree or mash the mixture to a fine Soup consistency suitable for cats. | Stir in the Salmon Oil to provide essential omega fatty acids. | Allow the meal to cool to room temperature before serving to your cat.,176,17.4,10.0,2.3,"Vitamin C, Folic Acid, Vitamin B12, Niacin","Selenium, Calcium, Phosphorus",15 mins,Easy,"Weight Management, Skin & Coat","Weight Management Support, Skin & Coat Support",https://pawfeed.ai/recipes/cat-tender-rabbit-meat-and-salmon-fillet-soup
CAT_500,Grain-Free Tuna Fillet & Chicken Liver Gravy Bowl,Cat,Senior,"Tuna Fillet, Chicken Liver, Spinach, Salmon Oil","164g, 55g, 22g, 3g",Gently simmer the Tuna Fillet and Chicken Liver in water without any salt or spices until fully tender. | Add the Spinach in the last 5 minutes of simmering to soften it. | Puree or mash the mixture to a fine Gravy Bowl consistency suitable for cats. | Stir in the Salmon Oil to provide essential omega fatty acids. | Allow the meal to cool to room temperature before serving to your cat.,129,22.9,3.2,0.5,"Vitamin E, Riboflavin, Vitamin D3, Thiamine","Zinc, Potassium, Manganese, Iron",10 mins,Medium,"Weight Management, Puppy/Kitten","Weight Management Support, Puppy/Kitten Support",https://pawfeed.ai/recipes/cat-grain-free-tuna-fillet-and-chicken-liver-gravy-bowl
RABBIT_001,Crisp & Garden Fresh Carrots & Cilantro Herbal Salad,Rabbit,Adult,"Timothy Hay, Cilantro, Romaine Lettuce, Carrots","160g, 68g, 68g, 11g","Provide a large base of fresh, clean Timothy Hay. | Thoroughly wash the leafy greens: Cilantro, Romaine Lettuce. | Finely chop the greens and the Carrots sweet component. | Toss the greens and sweet treats together. | Scatter the mixture over the hay base to encourage natural foraging behaviors.",47,4.4,1.0,22.7,"Vitamin A, Vitamin C, Vitamin K","Calcium, Potassium, Magnesium",5 mins,Easy,"Skin & Coat, General Wellness","Skin & Coat Support, General Wellness Support",https://pawfeed.ai/recipes/rabbit-crisp-and-garden-fresh-carrots-and-cilantro-herbal-salad
RABBIT_002,Fiber-Rich Strawberries & Cilantro Green Salad Bowl,Rabbit,Baby,"Alfalfa Hay, Cilantro, Parsley, Romaine Lettuce, Strawberries","221g, 38g, 78g, 59g, 16g","Provide a large base of fresh, clean Alfalfa Hay. | Thoroughly wash the leafy greens: Cilantro, Parsley, Romaine Lettuce. | Finely chop the greens and the Strawberries sweet component. | Toss the greens and sweet treats together. | Scatter the mixture over the hay base to encourage natural foraging behaviors.",66,9.0,1.3,21.1,"Vitamin A, Vitamin C, Vitamin K","Calcium, Potassium, Magnesium",5 mins,Easy,Skin & Coat,Skin & Coat Support,https://pawfeed.ai/recipes/rabbit-fiber-rich-strawberries-and-cilantro-green-salad-bowl
RABBIT_003,Fiber-Rich Apple (no seeds) & Romaine Lettuce Forage Medley,Rabbit,Baby,"Alfalfa Hay, Romaine Lettuce, Kale, Apple (no seeds)","182g, 32g, 73g, 10g","Provide a large base of fresh, clean Alfalfa Hay. | Thoroughly wash the leafy greens: Romaine Lettuce, Kale. | Finely chop the greens and the Apple (no seeds) sweet component. | Toss the greens and sweet treats together. | Scatter the mixture over the hay base to encourage natural foraging behaviors.",77,10.4,1.5,24.4,"Vitamin A, Vitamin C, Vitamin K","Calcium, Potassium, Magnesium",5 mins,Easy,Digestive Health,Digestive Health Support,https://pawfeed.ai/recipes/rabbit-fiber-rich-apple-(no-seeds)-and-romaine-lettuce-forage-medley
RABBIT_004,Wholesome Blueberries & Dill Green Salad Bowl,Rabbit,Baby,"Timothy Hay, Dill, Kale, Mint, Blueberries","290g, 47g, 33g, 71g, 14g","Provide a large base of fresh, clean Timothy Hay. | Thoroughly wash the leafy greens: Dill, Kale, Mint. | Finely chop the greens and the Blueberries sweet component. | Toss the greens and sweet treats together. | Scatter the mixture over the hay base to encourage natural foraging behaviors.",65,5.7,1.3,29.6,"Vitamin A, Vitamin C, Vitamin K","Calcium, Potassium, Magnesium",5 mins,Easy,"Digestive Health, Skin & Coat","Digestive Health Support, Skin & Coat Support",https://pawfeed.ai/recipes/rabbit-wholesome-blueberries-and-dill-green-salad-bowl
